   1.3020700e-04   1.2376496e-04   1.9293422e-04
   1.8409109e-04   1.5327071e-04   3.5204967e-04
   2.6027425e-04   1.8165714e-04   4.4237522e-04
   3.6798460e-04   2.7065982e-04   6.4266516e-04
   5.2026916e-04   2.6073020e-04   7.9398521e-04
   7.3557425e-04   4.2449232e-04   1.1584413e-03
   1.0399799e-03   5.7385998e-04   1.4150244e-03
   1.4703590e-03   6.8289468e-04   1.9167684e-03
   2.0788436e-03   9.8472435e-04   2.5410190e-03
   2.9391399e-03   1.3443348e-03   3.2477386e-03
   4.1554561e-03   1.7865066e-03   4.1740333e-03
   5.8751253e-03   2.1509571e-03   5.5457239e-03
   8.3064523e-03   2.8000689e-03   7.2775442e-03
   1.1743945e-02   3.5782024e-03   9.7410289e-03
   1.6603989e-02   4.5907012e-03   1.2724056e-02
   2.3475286e-02   6.2641092e-03   1.6693873e-02
   3.3190158e-02   8.9659136e-03   2.1969779e-02
   4.6925376e-02   1.2808200e-02   2.8602662e-02
   6.6344694e-02   1.7081464e-02   3.5979300e-02
   9.3800387e-02   2.2488242e-02   4.5597411e-02
   1.3261818e-01   2.8588400e-02   5.7791236e-02
   1.8750010e-01   3.6973827e-02   7.3573695e-02
