   1.3020700e-04   3.1478678e-04   2.6993970e-04
   1.8409109e-04   3.8121848e-04   3.9016399e-04
   2.6027425e-04   3.9806691e-04   4.8988621e-04
   3.6798460e-04   5.2609868e-04   6.9615508e-04
   5.2026916e-04   5.7382368e-04   8.0402853e-04
   7.3557425e-04   7.8585164e-04   9.7129422e-04
   1.0399799e-03   1.0522816e-03   1.3731101e-03
   1.4703590e-03   1.4394329e-03   1.7023783e-03
   2.0788436e-03   1.8088461e-03   1.9385052e-03
   2.9391399e-03   2.3920787e-03   2.1556525e-03
   4.1554561e-03   3.0950366e-03   2.3682846e-03
   5.8751253e-03   3.8379013e-03   2.4565392e-03
   8.3064523e-03   4.5818723e-03   2.4107195e-03
   1.1743945e-02   5.2064863e-03   2.3388270e-03
   1.6603989e-02   5.7225468e-03   2.2051374e-03
   2.3475286e-02   6.1391685e-03   2.0842911e-03
   3.3190158e-02   6.6473646e-03   2.0939250e-03
   4.6925376e-02   7.0041357e-03   2.1898661e-03
   6.6344694e-02   7.4048863e-03   2.1101030e-03
   9.3800387e-02   7.7330334e-03   2.0106566e-03
   1.3261818e-01   8.0718157e-03   2.0356483e-03
   1.8750010e-01   8.4365852e-03   1.9728632e-03
